City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
54,Bluff,NZ,2020-04-15 22:32:29,-46.6,168.33,51.01,74,70,15.99,broken clouds,0.0,0
55,Saint George,US,2020-04-15 22:30:20,37.1,-113.58,70.0,14,1,14.99,clear sky,0.0,0
56,New Norfolk,AU,2020-04-15 22:32:30,-42.78,147.06,60.8,72,40,11.41,light rain,0.76,0
57,Provideniya,RU,2020-04-15 22:32:30,64.38,-173.3,30.2,80,90,13.42,overcast clouds,0.0,0
58,Faya,SA,2020-04-15 22:32:30,18.39,42.45,60.8,87,20,5.82,few clouds,0.0,0
59,Waipawa,NZ,2020-04-15 22:28:38,-41.41,175.52,60.8,63,53,12.75,broken clouds,0.0,0
60,Kavieng,PG,2020-04-15 22:28:38,-2.57,150.8,82.4,71,100,1.1,overcast clouds,0.0,0
61,San Pedro,PH,2020-04-15 22:32:31,14.35,121.02,80.6,78,20,1.12,few clouds,0.0,0
62,Kenai,US,2020-04-15 22:32:31,60.55,-151.26,44.01,86,90,5.82,light rain,0.76,0
63,Ewa Beach,US,2020-04-15 22:31:25,21.32,-158.01,82.4,65,40,9.17,scattered clouds,0.0,0
64,Aklavik,CA,2020-04-15 22:32:31,68.22,-135.01,42.8,60,75,5.82,broken clouds,0.0,0
65,Itaituba,BR,2020-04-15 22:32:32,-4.28,-55.98,77.0,94,75,2.24,broken clouds,0.0,0
66,Tiksi,RU,2020-04-15 22:32:32,71.69,128.87,-3.53,91,100,9.84,overcast clouds,0.0,0
67,Nekrasovskoye,RU,2020-04-15 22:32:32,57.68,40.37,28.4,92,63,8.95,broken clouds,0.0,0
68,Fort Morgan,US,2020-04-15 22:32:32,40.25,-103.8,52.0,52,90,20.8,overcast clouds,0.0,0
69,Geraldton,AU,2020-04-15 22:32:32,-28.77,114.6,55.4,87,0,6.93,clear sky,0.0,0
70,Hambantota,LK,2020-04-15 22:32:33,6.12,81.12,80.11,79,56,6.38,broken clouds,0.0,0
71,Butaritari,KI,2020-04-15 22:32:33,3.07,172.79,83.34,79,93,17.83,light rain,0.0,0
72,East London,ZA,2020-04-15 22:32:33,-33.02,27.91,63.73,76,20,10.67,few clouds,0.0,0
73,Seymchan,RU,2020-04-15 22:28:41,62.88,152.43,11.14,90,76,0.27,broken clouds,0.0,0
74,Aktau,KZ,2020-04-15 22:32:33,43.65,51.2,46.4,70,10,11.18,clear sky,0.0,0
75,Kapaa,US,2020-04-15 22:32:34,22.08,-159.32,80.6,74,20,11.41,few clouds,0.0,0
76,Cape Town,ZA,2020-04-15 22:32:08,-33.93,18.42,60.01,82,20,3.36,few clouds,0.0,0
77,Chokurdakh,RU,2020-04-15 22:32:34,70.63,147.92,-1.77,91,100,8.34,overcast clouds,0.0,0
78,Clyde River,CA,2020-04-15 22:32:34,70.47,-68.59,6.8,84,75,19.46,broken clouds,0.0,0
79,Lagoa,PT,2020-04-15 22:28:42,39.05,-27.98,56.66,69,0,22.57,clear sky,0.0,0
80,Karratha,AU,2020-04-15 22:28:43,-20.74,116.85,81.41,71,82,8.43,broken clouds,0.0,0
81,Chase,CA,2020-04-15 22:28:43,50.82,-119.69,59.0,24,75,9.17,broken clouds,0.0,0
82,Cartagena,CO,2020-04-15 22:29:53,10.4,-75.51,86.0,70,40,9.17,scattered clouds,0.0,0
83,Virginia Beach,US,2020-04-15 22:28:34,36.85,-75.98,54.0,49,20,6.93,few clouds,0.0,0
84,Khatanga,RU,2020-04-15 22:28:43,71.97,102.5,-9.6,89,0,6.35,clear sky,0.0,0
85,Vaini,TO,2020-04-15 22:32:36,-21.2,-175.2,80.6,74,75,8.05,broken clouds,0.0,0
86,Terenos,BR,2020-04-15 22:32:36,-20.44,-54.86,64.4,52,0,5.82,clear sky,0.0,0
87,Loandjili,CG,2020-04-15 22:28:44,-4.76,11.86,81.39,89,100,7.38,light rain,0.0,0
88,Kahului,US,2020-04-15 22:30:05,20.89,-156.47,79.0,69,40,14.99,scattered clouds,0.0,0
89,Nova Era,BR,2020-04-15 22:32:37,-19.75,-43.04,67.77,77,100,2.37,light rain,0.0,0
90,Bud,US,2020-04-15 22:32:37,39.45,-86.18,46.0,48,75,9.17,broken clouds,0.0,0
91,Kiunga,PG,2020-04-15 22:28:45,-6.12,141.29,73.62,97,100,2.08,light rain,0.0,0
92,Dixon,US,2020-04-15 22:32:38,38.45,-121.82,84.99,27,1,4.16,clear sky,0.0,0
93,Sitka,US,2020-04-15 22:28:37,57.05,-135.33,46.4,93,90,3.36,light rain,0.76,0
