City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Naze,JP,2020-04-14 20:09:06,28.37,129.48,53.6,93,100,2.24
70,Barrow,US,2020-04-14 20:11:49,71.29,-156.79,12.2,92,90,4.7
71,Nishihara,JP,2020-04-14 20:11:49,26.18,127.76,64.4,59,75,3.36
72,Kahului,US,2020-04-14 20:11:50,20.89,-156.47,77.0,73,1,4.7
73,Aransas Pass,US,2020-04-14 20:11:50,27.91,-97.15,73.4,49,1,13.87
74,Crixas,BR,2020-04-14 20:11:50,-14.55,-49.97,77.59,77,29,2.51
75,Kodiak,US,2020-04-14 20:11:50,57.79,-152.41,42.8,87,90,3.36
76,Zhigansk,RU,2020-04-14 20:11:51,66.77,123.37,10.51,90,3,17.76
77,Ribeira Grande,PT,2020-04-14 20:11:51,38.52,-28.7,51.8,87,75,28.86
78,Sapulpa,US,2020-04-14 20:11:51,36.0,-96.11,51.8,42,90,5.82
79,Busselton,AU,2020-04-14 20:11:52,-33.65,115.33,57.0,61,67,16.91
80,Kavaratti,IN,2020-04-14 20:11:52,10.57,72.64,84.25,72,4,7.47
81,Ponta Do Sol,PT,2020-04-14 20:11:52,32.67,-17.1,62.6,45,20,8.05
82,Guerrero Negro,MX,2020-04-14 20:11:52,27.98,-114.06,68.32,57,35,14.32
83,Kapaa,US,2020-04-14 20:11:53,22.08,-159.32,77.0,100,20,6.93
84,Upernavik,GL,2020-04-14 20:11:53,72.79,-56.15,23.95,95,100,2.82
85,Lompoc,US,2020-04-14 20:11:53,34.64,-120.46,75.99,72,1,17.22
86,Hasaki,JP,2020-04-14 20:11:54,35.73,140.83,41.0,65,20,3.36
87,Kryry,CZ,2020-04-14 20:11:54,50.17,13.43,41.0,71,0,3.18
88,Yar-Sale,RU,2020-04-14 20:11:54,66.83,70.83,29.97,99,100,7.74
89,Nanortalik,GL,2020-04-14 20:11:55,60.14,-45.24,30.18,93,14,7.47
90,Hithadhoo,MV,2020-04-14 20:11:55,-0.6,73.08,84.9,65,66,2.93
91,Boende,CD,2020-04-14 20:11:55,-0.22,20.87,76.32,75,19,0.36
92,Cagliliog,PH,2020-04-14 20:11:55,13.9,123.29,77.61,86,40,6.2
93,Mehamn,NO,2020-04-14 20:11:56,71.04,27.85,33.8,86,75,8.05
94,Tilichiki,RU,2020-04-14 20:11:56,60.47,166.1,15.21,96,100,8.48
95,Arraial Do Cabo,BR,2020-04-14 20:11:56,-22.97,-42.03,78.8,74,40,11.41
96,Mount Gambier,AU,2020-04-14 20:08:56,-37.83,140.77,59.0,47,98,8.05
97,Mezen,RU,2020-04-14 20:11:57,65.85,44.24,35.02,87,97,13.09
98,Rio Gallegos,AR,2020-04-14 20:11:57,-51.62,-69.22,62.6,39,22,6.93
99,Yulara,AU,2020-04-14 20:09:12,-25.24,130.99,64.4,22,10,8.05
100,Esperance,AU,2020-04-14 20:11:57,-33.87,121.9,62.6,100,40,8.05
101,Komsomolskiy,UZ,2020-04-14 20:11:58,40.43,71.72,57.2,82,100,2.24
102,Saint-Joseph,RE,2020-04-14 20:11:58,-21.37,55.62,78.8,78,1,3.36
103,Torbay,CA,2020-04-14 20:11:58,47.67,-52.73,48.99,93,90,20.8
104,Hovd,MN,2020-04-14 20:11:59,48.01,91.64,43.45,48,99,2.19
105,Victoria,HK,2020-04-14 20:08:30,22.29,114.16,69.01,72,20,2.24
106,Ibaiti,BR,2020-04-14 20:12:00,-23.85,-50.19,71.01,93,47,4.0
107,Jambi,ID,2020-04-14 20:09:59,-1.6,103.62,75.45,96,100,2.24
108,Channel-Port Aux Basques,CA,2020-04-14 20:12:01,47.57,-59.14,35.49,85,48,15.12
109,Hangu,CN,2020-04-14 20:12:01,39.25,117.79,60.8,44,37,4.47
110,Mahajanga,MG,2020-04-14 20:12:01,-15.72,46.32,78.8,78,20,5.82
111,Mwaya,TZ,2020-04-14 20:12:02,-9.55,33.95,74.7,70,100,2.73
112,Chapais,CA,2020-04-14 20:12:02,49.78,-74.85,26.6,58,90,23.04
113,Zonguldak,TR,2020-04-14 20:12:03,41.25,31.83,54.0,56,98,6.04
114,Port Alfred,ZA,2020-04-14 20:12:04,-33.59,26.89,62.01,95,85,1.01
115,Kirakira,SB,2020-04-14 20:12:04,-10.45,161.92,83.17,75,89,6.55
116,Nikolskoye,RU,2020-04-14 20:12:05,59.7,30.79,35.01,98,75,8.95
117,Alofi,NU,2020-04-14 20:12:05,-19.06,-169.92,78.8,83,100,5.82
118,Vaini,TO,2020-04-14 20:08:21,-21.2,-175.2,75.2,88,40,5.82
119,Jalu,LY,2020-04-14 20:12:06,29.03,21.55,76.91,18,0,13.02
120,Tasiilaq,GL,2020-04-14 20:12:06,65.61,-37.64,32.0,84,2,1.12
121,Port Hedland,AU,2020-04-14 20:12:06,-20.32,118.57,77.0,88,24,5.82
122,Tres Arroyos,AR,2020-04-14 20:12:06,-38.37,-60.28,59.65,55,0,8.23
123,Kaitangata,NZ,2020-04-14 20:12:07,-46.28,169.85,44.01,76,66,4.0
124,San Ignacio,BZ,2020-04-14 20:12:08,17.16,-89.07,100.4,39,3,6.93
125,Dillon,US,2020-04-14 20:12:09,34.42,-79.37,82.99,44,40,12.75
126,Gao,ML,2020-04-14 20:12:09,16.64,1.64,87.69,10,56,6.31
127,Puro,PH,2020-04-14 20:12:09,12.48,123.38,79.93,78,0,8.16
128,Tankhoy,RU,2020-04-14 20:12:10,51.55,105.13,33.33,73,93,2.13
129,Takoradi,GH,2020-04-14 20:12:10,4.88,-1.76,82.44,82,37,7.16
130,Ilulissat,GL,2020-04-14 20:12:11,69.22,-51.1,28.4,68,75,10.29
131,Carnarvon,AU,2020-04-14 20:12:11,-24.87,113.63,73.4,73,35,17.22
132,Larap,PH,2020-04-14 20:12:11,14.3,122.65,77.2,87,41,10.09
133,Kushmurun,KZ,2020-04-14 20:12:12,52.45,64.63,37.49,75,40,15.5
134,Beringovskiy,RU,2020-04-14 20:12:12,63.05,179.32,24.98,97,100,10.92
135,Chibuto,MZ,2020-04-14 20:12:12,-24.69,33.53,71.91,79,0,6.85
136,Arlit,NE,2020-04-14 20:12:12,18.74,7.39,90.5,10,15,11.92
137,Taoudenni,ML,2020-04-14 20:12:13,22.68,-3.98,81.18,42,100,9.8
138,Kathmandu,NP,2020-04-14 20:12:14,27.72,85.32,62.6,77,75,6.93
139,Caravelas,BR,2020-04-14 20:09:10,-17.71,-39.25,77.61,85,15,5.7
140,Atambua,ID,2020-04-14 20:12:15,-9.11,124.89,73.78,80,45,3.89
141,Vaitape,PF,2020-04-14 20:12:15,-16.52,-151.75,83.52,72,23,7.27
142,Saint Andrews,US,2020-04-14 20:12:15,34.05,-81.13,84.0,39,20,16.11
143,Bredasdorp,ZA,2020-04-14 20:12:16,-34.53,20.04,55.4,87,0,1.12
144,Sitka,US,2020-04-14 20:10:45,57.05,-135.33,44.6,93,90,3.36
145,Faanui,PF,2020-04-14 20:12:16,-16.48,-151.75,82.69,72,24,7.43
146,Codrington,AU,2020-04-14 20:12:17,-38.27,141.97,62.53,45,99,14.18
147,Waddan,LY,2020-04-14 20:12:17,29.16,16.14,87.91,11,94,3.02
148,East London,ZA,2020-04-14 20:12:17,-33.02,27.91,65.12,71,100,4.25
149,Berlin,DE,2020-04-14 20:11:58,52.52,13.41,46.99,52,29,10.29
150,Tuatapere,NZ,2020-04-14 20:12:18,-46.13,167.68,44.01,92,100,3.0
151,Petropavlovsk-Kamchatskiy,RU,2020-04-14 20:12:18,53.05,158.65,23.0,79,94,6.71
152,Rio Grande,BR,2020-04-14 20:09:05,-32.03,-52.1,66.2,68,75,16.11
153,Itarema,BR,2020-04-14 20:12:19,-2.92,-39.92,78.48,78,96,3.78
154,Chor,PK,2020-04-14 20:12:19,25.52,69.77,80.69,51,57,15.28
155,Katsuura,JP,2020-04-14 20:12:19,35.13,140.3,46.4,52,0,3.36
156,Chuy,UY,2020-04-14 20:12:20,-33.7,-53.46,58.75,87,100,25.28
157,Makat,KZ,2020-04-14 20:12:20,47.65,53.35,47.23,53,2,8.79
158,Nemuro,JP,2020-04-14 20:12:21,43.32,145.57,31.96,92,83,17.05
159,Nashville,US,2020-04-14 20:07:48,36.17,-86.78,48.2,75,75,10.29
160,Saint George,US,2020-04-14 20:09:12,37.1,-113.58,55.4,13,1,4.7
161,Morant Bay,JM,2020-04-14 20:12:22,17.88,-76.41,86.0,70,20,19.46
162,Mackay,AU,2020-04-14 20:12:22,-21.15,149.2,71.6,88,75,10.29
163,Bulgan,MN,2020-04-14 20:12:22,48.81,103.53,29.32,56,4,5.99
164,Port-Gentil,GA,2020-04-14 20:12:23,-0.72,8.78,82.08,82,100,7.23
165,Tevaitoa,PF,2020-04-14 20:12:23,-16.78,-151.5,83.34,69,23,5.37
166,Luancheng,CN,2020-04-14 20:12:23,37.88,114.65,50.0,93,26,2.24
167,Najran,SA,2020-04-14 20:12:24,17.49,44.13,73.4,60,40,1.32
168,Senanga,ZM,2020-04-14 20:12:24,-16.12,23.27,71.38,44,1,2.42
169,Temple,US,2020-04-14 20:08:03,31.1,-97.34,61.0,58,75,11.41
170,Mizdah,LY,2020-04-14 20:12:24,31.45,12.98,79.36,24,100,10.04
171,Sredniy Ikorets,RU,2020-04-14 20:12:24,51.07,39.76,49.24,53,100,13.09
172,Danville,US,2020-04-14 20:12:25,36.59,-79.39,71.6,40,1,3.36
173,Vardo,NO,2020-04-14 20:12:25,70.37,31.11,35.6,92,75,19.46
174,Krasnoselkup,RU,2020-04-14 20:12:25,65.7,82.47,24.15,97,72,6.85
175,Saint-Pierre,RE,2020-04-14 20:12:25,-21.34,55.48,78.8,78,2,3.36
176,Salalah,OM,2020-04-14 20:12:26,17.02,54.09,82.4,69,20,5.82
177,Fortuna,US,2020-04-14 20:12:26,40.6,-124.16,71.01,67,20,12.75
178,Georgetown,MY,2020-04-14 20:12:27,5.41,100.34,80.6,94,20,1.99
179,Rabo De Peixe,PT,2020-04-14 20:12:27,37.8,-25.58,59.0,77,20,6.93
180,Flin Flon,CA,2020-04-14 20:12:27,54.77,-101.86,24.8,35,5,2.24
181,Douglas,US,2020-04-14 20:12:28,41.3,-96.17,46.4,26,75,16.11
182,Aykhal,RU,2020-04-14 20:12:28,66.0,111.5,14.0,72,18,11.18
183,Cherskiy,RU,2020-04-14 20:12:29,68.75,161.3,8.13,95,82,10.25
184,Dapaong,TG,2020-04-14 20:12:29,10.86,0.2,95.11,25,9,6.26
185,Kawhia,NZ,2020-04-14 20:12:30,-38.07,174.82,55.99,93,80,16.51
186,Camacha,PT,2020-04-14 20:12:31,33.08,-16.33,62.6,63,40,21.92
187,Houma,US,2020-04-14 20:12:31,29.6,-90.72,73.4,68,40,11.41
188,Carballo,ES,2020-04-14 20:12:32,43.21,-8.69,61.0,87,90,4.7
189,Kutum,SD,2020-04-14 20:12:32,14.2,24.67,64.87,16,63,9.4
190,Inhambane,MZ,2020-04-14 20:12:33,-23.86,35.38,78.8,83,75,6.93
191,Kloulklubed,PW,2020-04-14 20:12:33,7.04,134.26,77.0,94,90,5.82
192,Villa Alemana,CL,2020-04-14 20:12:33,-33.04,-71.37,80.6,55,5,13.87
193,Pevek,RU,2020-04-14 20:12:34,69.7,170.31,8.8,91,55,0.96
194,Steinbach,DE,2020-04-14 20:12:34,50.17,8.57,48.0,60,3,2.44
195,Kaoma,ZM,2020-04-14 20:12:35,-14.78,24.8,65.86,54,84,3.38
196,Beloha,MG,2020-04-14 20:12:35,-25.17,45.05,77.31,67,0,7.11
197,La Crosse,US,2020-04-14 20:07:47,43.8,-91.24,35.01,63,90,17.22
198,Mecca,SA,2020-04-14 20:11:22,21.43,39.83,67.06,41,0,4.99
199,Severo-Yeniseyskiy,RU,2020-04-14 20:12:36,60.37,93.04,31.69,79,0,2.48
200,Buraydah,SA,2020-04-14 20:12:36,26.33,43.98,68.0,72,75,17.22
201,Longyearbyen,SJ,2020-04-14 20:10:25,78.22,15.64,32.0,94,75,26.4
202,Yenotayevka,RU,2020-04-14 20:12:37,47.25,47.03,46.67,85,93,12.35
203,Shingu,JP,2020-04-14 20:12:37,33.73,135.98,49.53,47,83,5.99
204,Boa Vista,BR,2020-04-14 20:12:12,2.82,-60.67,93.2,36,40,5.82
205,Kulhudhuffushi,MV,2020-04-14 20:12:37,6.62,73.07,85.05,63,8,1.36
206,Santa Vitoria Do Palmar,BR,2020-04-14 20:12:38,-33.52,-53.37,58.96,85,100,25.21
207,Broken Hill,AU,2020-04-14 20:12:38,-31.95,141.43,59.0,38,35,10.29
208,Parana,AR,2020-04-14 20:09:19,-31.73,-60.52,75.99,34,62,1.99
209,Dasoguz,TM,2020-04-14 20:12:39,41.84,59.97,42.8,44,0,2.24
210,Kargil,IN,2020-04-14 20:09:01,34.57,76.1,34.47,24,94,4.88
211,Killybegs,IE,2020-04-14 20:12:39,54.63,-8.45,48.2,76,51,4.7
212,Vila Franca Do Campo,PT,2020-04-14 20:12:40,37.72,-25.43,59.0,77,20,6.93
213,Port Moresby,PG,2020-04-14 20:12:40,-9.44,147.18,75.2,100,40,3.36
214,Dukat,RU,2020-04-14 20:12:40,62.55,155.55,13.82,88,100,4.45
215,Port Blair,IN,2020-04-14 20:12:41,11.67,92.75,83.12,71,99,3.89
216,Narsaq,GL,2020-04-14 20:12:41,60.92,-46.05,33.8,50,40,1.12
217,Vila Velha,BR,2020-04-14 20:09:27,-20.33,-40.29,80.6,65,10,10.29
218,San Patricio,MX,2020-04-14 20:12:42,19.22,-104.7,77.0,73,5,5.5
219,Cabo San Lucas,MX,2020-04-14 20:12:42,22.89,-109.91,84.99,38,5,13.87
220,Mareeba,AU,2020-04-14 20:12:42,-17.0,145.43,77.0,78,40,12.75
221,Qazanbulaq,AZ,2020-04-14 20:12:43,40.62,46.65,51.8,66,20,2.24
222,Clyde River,CA,2020-04-14 20:12:43,70.47,-68.59,10.4,92,20,2.24
223,Ostersund,SE,2020-04-14 20:10:04,63.18,14.64,39.99,86,100,6.93
224,Kazerun,IR,2020-04-14 20:12:43,29.62,51.65,60.87,31,0,1.01
225,Hashtrud,IR,2020-04-14 20:09:04,37.48,47.05,42.12,32,0,1.66
226,Jeremie,HT,2020-04-14 20:12:44,18.65,-74.12,80.31,75,60,3.53
227,Pangnirtung,CA,2020-04-14 20:12:44,66.15,-65.71,14.0,61,20,2.24
228,Strelka,RU,2020-04-14 20:12:45,58.07,93.03,37.08,85,78,6.35
229,Adrar,MR,2020-04-14 20:09:30,20.5,-10.07,76.26,50,42,13.29
230,Tinaquillo,VE,2020-04-14 20:12:45,9.92,-68.3,87.64,27,0,7.65
231,Khorol,UA,2020-04-14 20:12:45,49.78,33.28,38.68,81,100,10.85
232,Saskylakh,RU,2020-04-14 20:12:07,71.92,114.08,-2.31,90,88,15.77
233,Kirillov,RU,2020-04-14 20:12:46,59.86,38.38,35.19,82,100,4.07
234,Sainte-Maxime,FR,2020-04-14 20:12:46,43.3,6.63,59.0,76,90,1.12
