City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
438,Amapa,BR,76.78,overcast clouds,1.0,-52.0,
439,Nieves,PH,78.8,broken clouds,15.33,120.95,4JE TUTORIAL CENTER
441,Jabinyanah,TN,69.8,overcast clouds,35.03,10.91,maison belmabrouk
447,Nushki,PK,69.6,overcast clouds,29.55,66.02,Bismillah Motor shoroom
449,Madison,US,61.0,clear sky,34.73,-86.57,Embassy Suites by Hilton Huntsville Hotel & Spa
450,Fez,MA,68.0,scattered clouds,34.04,-5.0,Hotel Mounia Fès
454,Nambucca Heads,AU,61.0,broken clouds,-30.65,153.0,Marcel Towers Holiday Apartments
456,Ahipara,NZ,65.66,overcast clouds,-35.17,173.17,Ahipara Holiday Park
459,Sokoni,TZ,75.2,broken clouds,-6.43,39.55,Ujamaa Beach Resort
462,Buluang,PH,77.5,scattered clouds,13.31,123.34,
472,Banjar,ID,78.8,few clouds,-8.19,114.97,The Hamsa Resort
474,Acari,PE,78.91,clear sky,-15.43,-74.62,Hospedaje Ximens
475,Dekar,BW,73.92,few clouds,-21.53,21.93,
476,Sabaudia,IT,61.0,broken clouds,41.3,13.03,Oasi di Kufra
477,Dentsville,US,77.0,clear sky,34.06,-80.96,Columbia Northeast Hotel
482,Kupang,ID,79.21,few clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
486,Virginia Beach,US,60.01,light rain,36.85,-75.98,Hilton Virginia Beach Oceanfront
487,Tres Arroyos,AR,71.42,clear sky,-38.37,-60.28,Habitacion Triple con baño y entrada privada
488,Arona,ES,69.8,few clouds,28.1,-16.68,Paradise Court
490,Binga,ZW,76.87,scattered clouds,-17.62,27.34,Masumu River Lodge
492,Simpang,ID,78.15,broken clouds,-1.27,104.08,Sk 7 rt 1 dusun 3 rantau makmur berbak
493,Mount Isa,AU,71.6,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
495,Menongue,AO,63.7,overcast clouds,-14.66,17.69,Ritz Lauca
501,Japura,ID,74.03,broken clouds,-0.32,102.35,KOST dan HOMESTAY RUMAH KITA JOSH
502,Paramonga,PE,74.71,scattered clouds,-10.67,-77.83,"Av Douglas Stephen, Los Chalets Paramonga, Lima, Perú"
507,Lompoc,US,62.6,broken clouds,34.64,-120.46,Holiday Inn Express Lompoc
509,Mutoko,ZW,61.27,clear sky,-17.4,32.23,Nyamakwere Lodges
512,Sawtell,AU,61.0,broken clouds,-30.38,153.1,Boambee Waters Caravan Park
514,Siniscola,IT,60.8,broken clouds,40.57,9.69,Hotel Velasole
515,Yeppoon,AU,73.4,overcast clouds,-23.13,150.73,Villa Mar Colina
518,Outjo,,68.0,broken clouds,-20.12,16.15,Kai-Oms Backpackers Lodge
519,Pontes E Lacerda,BR,77.63,overcast clouds,-15.23,-59.34,Hotel Bressan
525,Saint Anthony,US,64.99,few clouds,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
529,Saint-Louis,SN,74.55,few clouds,16.33,-15.0,
544,Raymondville,US,75.2,overcast clouds,26.48,-97.78,La Quinta Inn & Suites by Wyndham Raymondville
547,Yala,TH,74.75,overcast clouds,6.33,101.25,งานแต่ง Murnee - Wahid
552,San Lawrenz,MT,63.0,overcast clouds,36.06,14.2,San Andrea Hotel
554,Rajgarh,IN,79.57,broken clouds,28.63,75.38,Amar Villa
555,Mizdah,LY,70.41,clear sky,31.45,12.98,محمدالمبروك الاريقط
